code,log_or,p_two,group
R22.2,4.24260674314826,1.2079474202805824,R
P12,2.0172881155815157,0.32584889888523916,P
R19.7,1.6108682012733506,0.4455607725149795,R
Z13.21,2.769296851111322,0.605542932099198,Z
P38.9,-0.020278374904141472,0.005316069035792181,P
R19.00,3.948218808050926,1.1877180942882772,R
P59.3,0.32784816739282674,0.24385639513935062,P
H92.13,4.055409890907317,1.0127837560808541,H
H69.90,4.591482734466893,1.434181663145021,H
Z00.11,1.9680551689681145,0.4712852324760717,Z
R82,1.6876353627110658,0.43073890660007785,R
L51,1.1970957882690252,-0.07382247801577502,L
R30,-2.436233179435752,0.6524032999954598,R
Z29.3,5.413200228233308,1.7691563924423765,Z
H04.54,1.7383544521990055,0.5102515925891407,H
R52,5.563600255236409,1.8982055901020995,R
H65.22,4.567267540416305,1.3345094041788919,H
Z82.49,5.0177698476020245,1.434127276412024,Z
J40,-0.13698294632842523,0.266990444548528,J
P55.1,1.0314127385547325,0.06250846264139398,P
Z22,0.9597508309632965,0.3145964698271603,Z
J41,0.575442996498525,-0.014796317364087319,J
H10.01,0.5475552108978337,0.029491367330902574,H
Z47.89,3.017006369391399,0.9062703085495073,Z
H93,5.950267248469314,2.117245892765993,H
P92.2,3.9117232119913448,1.229325840428788,P
R26,4.421752958113883,1.720376165689988,R
J21,0.5238944078862389,0.11466403956374387,J
P03.6,0.6608712781147401,0.20091822874018173,P
J32.0,0.696600693621672,-0.15002594405844194,J
P05.19,4.586089997350097,1.255091246710537,P
R22.1,3.7578300117853822,1.00834947836956,R
L05,6.503928578802404,2.5354517420744234,L
R06.81,5.169306796565959,1.6212255183433355,R
J38,4.8231294373972045,1.4837626154290637,J
P29.12,4.2698302906662144,1.2547575775676165,P
Z20.9,2.7002510782082387,0.7027410976721865,Z
Z41.2,7.9252880599754505,3.6692964103815737,Z
J44,4.183828846674597,1.3324591347969592,J
J18.9,1.0823616037667028,0.09145184725301216,J
J45.41,3.7727499137586253,1.1163913268407164,J
R56,4.9048203084385795,1.6661078089258934,R
L74.0,1.4944715905144876,0.22305019831461556,L
J44.9,4.572494172932643,1.1583030930120284,J
Z87.89,5.212624841445262,1.4920609027111964,Z
Z20.81,4.453445176227841,0.9097819448364993,Z
R59.1,3.957074157679842,0.5310444057031238,R
Z91.81,4.892858881136456,1.5981295146286971,Z
P37,0.649906931300401,0.24182566714017878,P
P22.1,5.858729458939605,2.1100988207006366,P
J31.0,0.9306498438080717,0.06514825660070801,J
P54,2.767387079176351,0.5911235675985614,P
H90.2,4.264401017811704,1.5343931059216358,H
Z29,4.617650507203975,1.384048738357235,Z
H05,1.5943453921027495,0.48487213306578814,H
H53.00,4.670019513061736,1.1612767043344667,H
P37.5,0.529327689342015,-0.16406221987835168,P
R29,4.484535838522349,1.481460649898014,R
Z79.2,4.438286879424505,1.181732623381241,Z
P05,6.329222865161266,2.161350028714651,P
P24.01,4.460803338466705,1.1164211780357445,P
P22.0,4.579873764788994,1.674232526053552,P
P55.8,1.6210857241426295,0.2894964098179773,P
R40.0,2.71210040500812,0.6617908364104677,R
H02.84,4.957105218388164,1.6355136196991586,H
R29.89,5.984946494409309,1.7994538807706348,R
Z20,4.81778698796494,1.640075139439023,Z
J12,2.899748331934265,0.7704531100608579,J
L27,1.125607461935458,-0.017350966579163518,L
R68.89,6.201392185140561,2.4698935428789466,R
Z53,3.8825525224385746,1.1449592855706607,Z
H93.8X,4.74709269632186,1.143697211088932,H
H66.40,-1.1176724785469325,0.3032190710100126,H
H02,4.127364116232196,1.1574022789156158,H
Z28.01,2.3660105457481104,0.57412252761143,Z
J32.4,1.547474063569351,0.3244517791307101,J
Z86.19,3.8577255813323257,0.9358709617089737,Z
H72,1.754169036157716,0.2555629924695365,H
R06.7,2.436434032098147,0.5471196610642676,R
Z28.3,5.846009476587349,1.9348912640138392,Z
J12.1,2.8189321940779544,0.8395863932851045,J
R68,4.201997119862656,1.4422681724986552,R
R19,1.878926495542093,0.39788655484125135,R
H61.22,5.5426241895095325,1.9951557870412393,H
L50.0,1.0415587400974193,0.39489346558490307,L
H44,3.4198364582603853,0.923921681613689,H
R06.89,6.067100363563047,2.0743307949745167,R
Z68.53,4.25884514076166,1.2853866833296435,Z
P81.8,1.5212196052041727,0.5884879965759588,P
H10.23,-0.7033374965855343,0.21206429348679018,H
