feature,beta_true,logOR_true,a,b,c,d,a_obs,b_obs,c_obs,d_obs,logOR_naive,se_naive,p_naive,logOR_lambda,se_lambda,p_lambda,a_hat,b_hat,c_hat,d_hat
84,0.027383201762105097,0.03423960553805048,151457,148651,148781,151111,165890,134218,164197,135695,0.02120229649726471,0.005190209853600111,4.4066238980782864e-05,0.040074679050237406,0.00529200510455983,3.655926266889972e-14,145717.92207792206,140099.22077922078,142751.948051948,142859.48051948054
85,0.021061748734349715,0.018893744300732016,150528,149093,149490,150889,165224,134397,164718,135661,0.01242818464538924,0.005189916892444337,0.016634924588892007,0.023492150199793293,0.005291790825720599,9.022791874562053e-06,144759.99999999997,140593.33333333334,143446.23376623372,142629.00432900432
86,-0.019837215149466868,-0.025432740332091468,149414,150876,151031,148679,164987,135303,165255,134455,-0.00791016163150219,0.005190423662765645,0.1275108303004107,-0.014949494647392378,0.005291832246983885,0.004727870459405927,143981.55844155842,142008.91774891777,144770.12987012984,140667.96536796537
87,-3.249577310910068e-05,0.0015493054082962186,150140,150759,149127,149974,165429,135470,164259,134842,0.002451154081770807,0.005189464267209835,0.6366892765320469,0.004633878649877973,0.005291653993081632,0.3811954833712907,144468.83116883112,142101.64502164503,143275.5844155844,141582.51082251084
88,0.01380559162628499,0.012410505505947628,150157,149359,149710,150774,165060,134456,164804,135680,0.010614280955955397,0.005189777029536526,0.04083231571708073,0.02006428885896304,0.005291746553329222,0.0001496681654495581,144516.3636363636,140736.9696969697,143548.0519480519,142627.18614718615
89,0.014512977536222825,0.01489460547291822,150356,149703,149180,150761,164926,135133,164703,135238,0.0021297400803092542,0.005189340708331651,0.6815076484707292,0.004026390682305081,0.0052916159682279175,0.4467167881669427,143990.6493506493,141779.82683982686,143646.49350649348,142011.60173160175
90,0.027149371462360728,0.025521880309114904,150827,149272,148814,151087,165701,134398,164445,135456,0.015450056830559323,0.005190278747454285,0.0029134075881441066,0.02920103292812519,0.005291900098873627,3.427584844139162e-08,145378.96103896102,140429.6103896104,143198.1818181818,142421.81818181818
91,0.007946916502165386,0.014080245223524142,150412,149608,149336,150644,165498,134522,164244,135736,0.01658999512674116,0.00518958096689424,0.0013896656005237251,0.03136271097360134,0.005291802830323597,3.091599964780213e-09,145050.90909090906,140682.42424242425,142791.68831168828,142903.5497835498
92,-0.0029381486205880417,0.006588689063383957,150046,149460,150046,150448,165146,134360,164709,135785,0.013199591278002852,0.005189773130804591,0.010978418016772606,0.024951531398754,0.005291780928393579,2.4153486327122588e-06,144677.92207792203,140565.88744588746,143370.12987012984,142814.63203463203
93,-0.008020113952970755,-0.006646582795315771,150082,150762,149737,149419,164884,135960,164379,134777,-0.005671681970408064,0.005188742483815668,0.2743611016375427,-0.010724957720332107,0.005291584919638198,0.04268338467253834,143506.49350649348,143011.60173160172,143465.19480519477,141445.28138528139
