feature,beta_true,a,b,c,d,logOR_hat,se_wald,p_wald,neglog10p
1274,0.07709604919727829,152143,147234,147448,153175,0.07090296117522955,0.005164795906781636,6.889389744830214e-43,42.16181924575427
1275,-0.04993111568297351,147904,151976,152046,148074,-0.05362997803761569,0.005164433829561949,2.917440546114319e-25,24.5349979855851
1276,0.005491039685115351,149845,149836,150067,150252,0.0012920830028845575,0.005163972598245846,0.8024241407922241,0.09559601411632442
1277,0.03854722041778993,151783,148643,148072,151502,0.04380444956778794,0.005164284730289862,2.2099235816042544e-17,16.655622743808735
1278,0.022231328826398583,150850,149084,148799,151267,0.02822605137844383,0.00516410139847677,4.6077038602445356e-08,7.336515441041997
1279,-0.009359667564894064,149733,150495,150166,149606,-0.008812300831588805,0.005163983498311878,0.08791635950517872,1.0559303037459207
1280,0.05391567797741761,152203,147711,148024,152062,0.056871214125949955,0.005164492858356797,3.346249748793562e-28,27.475441648407948
1281,-0.03310604034934443,148975,150733,151385,148907,-0.02823576981798324,0.005164103925777109,4.559132625405967e-08,7.341117773965138
1282,-0.04047410524491131,148463,151999,150993,148545,-0.0398835754935422,0.005164240218933775,1.135975711205414e-14,13.944630954366401
1283,0.017601022637663194,150523,149373,150080,150024,0.007296134667719592,0.005163988533840928,0.15768881538426993,0.8021991093924296
1284,-0.04506509854189697,148361,152391,151919,147329,-0.05748020462783609,0.0051645212065921774,8.981411297969883e-29,28.046655414918167
1285,-0.07367807833086194,147766,152613,152286,147335,-0.06532657228683075,0.005164662116501825,1.1365425074215645e-36,35.944414316742005
1286,0.027355241956076828,151343,149174,148035,151448,0.037228849398355864,0.005164211968843194,5.636063028367735e-13,12.249024158799152
1287,0.02358957665127008,150984,148873,149011,151132,0.028213681801482475,0.0051640982314044865,4.6702525090823884e-08,7.330659637563128
1288,0.02268907859861165,150486,149503,149087,150924,0.018799905109395564,0.005164031456004878,0.0002720582333545779,3.5653381264154773
1289,-0.015103741000946342,149370,150634,150611,149385,-0.016600036656323716,0.0051640136676049985,0.0013064417833795908,2.8839099381910103
1290,0.00566837844635169,149951,149787,149513,150749,0.009327114565808358,0.005163993401121432,0.07088983586632891,1.1494160291837305
1291,-0.029909550089475174,149085,150953,151196,148766,-0.028654228181248707,0.00516410400333765,2.8774916914656905e-08,7.540985921688027
1292,0.05373690671748446,151739,148109,148285,151867,0.04808233030717227,0.005164342959878102,1.2729805966241714e-20,19.895178216018987
1293,0.02450899002018332,151279,148904,149348,150469,0.023301863110627336,0.005164068974770239,6.412636440132911e-06,5.1929633814019285
1294,0.022997963255289463,151049,149278,149234,150439,0.019836024577082938,0.005164037997037489,0.000122441857943927,3.9120700890005997
